Fund Name,Currency,Risk Rating,Cash,CPFIS-OA,CPFIS-SA,SRS,Management Fee,Annual Expense Ratio,Fund Size(million),Initial,Subsequent,Indicated Gross <br\/> Dividend Yield* (%),Cash Investment,Frequency,FSM Sales Charge,
"Nikko AM Global Dividend Equity Dis SGD-H",SGD,7,Y,N,N,Y,1.50%,1.65%,USD 74.24,1000.00,100.00,4.88%,Payout,M,0,
"HGIF - Asia ex Japan Equity Smaller Companies AD USD",USD,10,Y,N,N,N,1.50%,1.85%,USD 902.53,1000.00,100.00,0.44%,Reinvest,Y,0,
"Fullerton Lux Funds - Asia Growth and Income Equities A Acc SGD",SGD,8,Y,N,N,Y,1.50%,1.67%,SGD 263.71,1000.00,100.00,,,,0,
"FTIF - Templeton Global Bond A (Mdis) USD",USD,3,Y,N,N,N,0.75%,1.43%,USD 6550.00,1000.00,100.00,5.42%,Reinvest,M,0,
"Manulife Singapore Equity A SGD",SGD,8,Y,N,N,Y,1.50%,2.26%,SGD 10.82,1000.00,100.00,,,,0,
"Schroder ISF Global Dividend Maximiser A Acc SGD",SGD,7,Y,N,N,N,1.50%,1.87%,USD 1693.28,1500.00,100.00,,,,0,
"Schroder ISF Latin American A Acc SGD",SGD,9,Y,N,N,N,1.50%,1.88%,USD 250.71,1500.00,100.00,,,,0,
"Allianz US High Yield Cl AM DIS USD",USD,4,Y,N,N,Y,1.00%,1.36%,USD 1039.76,1000.00,100.00,6.44%,Payout,M,0,
"LionGlobal Japan Fund SGD",SGD,8,Y,N,N,Y,1.25%,2.16%,SGD 7.70,1000.00,100.00,,,,0,
"LionGlobal Asia Pacific SGD",SGD,8,Y,N,N,Y,1.50%,1.64%,SGD 120.70,1000.00,100.00,,,,0,
"FTIF - Franklin US Government A (Mdis) USD",USD,2,Y,N,N,N,0.65%,1.30%,USD 1170.00,1000.00,100.00,2.99%,Payout,M,0,
"FTIF - Franklin Global Convertible Securities A (acc) USD",USD,5,Y,N,N,N,0.75%,1.59%,USD 1820.00,1000.00,100.00,,,,0,
"FSSA Regional China A Acc USD",USD,8,Y,N,N,N,1.50%,1.74%,USD 578.30,1000.00,100.00,,,,0,
"Nikko AM Shenton Short Term Bond SGD",SGD,1,Y,Y,Y,Y,0.30%,0.39%,SGD 371.48,500.00,100.00,,,,0,
"Schroder AS Commodity A Acc USD",USD,10,Y,N,N,N,1.50%,1.92%,USD 593.49,10000.00,5000.00,,,,0,
"United Asia Pacific Growth Fund SGD",SGD,8,Y,N,N,Y,1.00%,2.29%,SGD 27.64,1000.00,100.00,,,,0,
"HSBC Portfolios - World Selection 1 AC USD",USD,6,Y,N,N,N,1.00%,1.22%,USD 472.96,1000.00,100.00,,,,0,
"HSBC Portfolios - World Selection 5 AC USD",USD,6,Y,N,N,N,1.30%,1.53%,USD 382.06,1000.00,100.00,,,,0,
"Schroder Global Emerging Market Opportunities Acc SGD",SGD,9,Y,Y,N,Y,1.20%,1.61%,SGD 113.02,1000.00,500.00,,,,0,
"Allianz Oriental Income Cl A Dis USD",USD,6,Y,N,N,Y,1.50%,1.85%,USD 1162.26,1000.00,100.00,0.03%,Reinvest,Y,0,
"FTIF - Templeton Frontier Markets A (acc) USD",USD,10,Y,N,N,N,1.60%,2.69%,USD 317.00,1000.00,100.00,,,,0,
"FSSA Regional India A Acc SGD",SGD,9,Y,N,N,Y,1.75%,2.10%,SGD 104.50,1000.00,100.00,,,,0,
"United Global Financials Fund SGD",SGD,10,Y,N,N,Y,1.50%,3.39%,SGD 16.07,1000.00,100.00,,,,0,
"Aberdeen Standard Indonesia Equity SGD",SGD,9,Y,Y,N,Y,1.50%,1.75%,SGD 63.00,1000.00,100.00,,,,0,
"FTIF - Templeton Africa A (acc) USD",USD,9,Y,N,N,N,1.60%,,USD 61.00,1000.00,100.00,,,,0,
"Nikko AM Shenton Japan Fund SGD",SGD,8,Y,Y,N,Y,1.00%,1.08%,JPY 6856.79,1000.00,100.00,,,,0,
"HGIF - Indian Equity AD SGD",SGD,9,Y,N,N,Y,1.50%,1.90%,USD 1205.49,1000.00,100.00,,Reinvest,F,0,
"DWS Asia Premier Trust A SGD",SGD,8,Y,N,N,Y,1.25%,1.46%,SGD 114.49,1000.00,500.00,,,,0,
"Legg Mason Western Asset - Global Bond Trust A Acc SGD",SGD,2,Y,Y,Y,Y,0.75%,0.88%,SGD 331.00,1000.00,100.00,,,,0,
"PineBridge Acorns of Asia Balanced Fund SGD",SGD,6,Y,N,N,Y,1.25%,1.47%,SGD 133.26,1000.00,100.00,,,,0,
